pertimes,pro,times
40.7905868378566,北京市,8
0.0,天津市,0
25.0507242373133,河北省,18
8.400513876234838,山西省,3
20.237760495899604,内蒙古自治区,5
36.57450250161596,辽宁省,16
14.570454796712102,吉林省,4
10.440050476600048,黑龙江省,4
30.409402656808687,上海市,7
26.69685835566091,江苏省,21
23.8852518693379,浙江省,13
15.125931446455178,安徽省,9
27.104518846408908,福建省,10
13.462635364274345,江西省,6
32.361540964298136,山东省,31
11.698401718627085,河南省,11
19.218093688451322,湖北省,11
10.654366535353121,湖南省,7
2.875754218067618,广东省,3
8.691162810444805,广西壮族自治区,4
0.0,海南省,0
17.3333236266721,重庆市,5
7.461059981848733,四川省,6
8.633452279283203,贵州省,3
6.526454351824534,云南省,3
66.61859025070241,西藏自治区,2
18.75299093461665,陕西省,7
19.55014108750319,甘肃省,5
0.0,青海省,0
31.739230482356955,宁夏回族自治区,2
18.335322333820674,新疆维吾尔自治区,4
