name,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
乙晓光,,,,,,,,,,保定,保定,保定,保定,保定,成都,成都,成都,成都,成都,成都,成都,成都,成都,成都,云南,云南,云南,云南,云南,云南,云南,武汉,武汉,武汉,武汉,武汉,武汉,武汉,广州,广州,广州,广州,广州,广州,广州,南京,南京,南京,南京,南京,南京,北京,北京,北京
丁来杭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,福州,福州,福州,福州,福州,成都,成都,成都,成都,沈阳,沈阳,沈阳
丁学东,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
丁薛祥,,,,,,,,,,,,,,,,,,上海,上海,上海,上海,上海,上海,上海,上海,上海,上海,上海,上海市,上海,上海,上海,上海,上海,上海市,上海市,闸北区,闸北区,闸北区,上海市,上海市,上海市,上海市,上海市,上海市,上海市,上海市,上海市,北京,北京,北京,北京,北京,北京
于伟国,,,,,,,,,江苏省,江苏省,江苏省,江苏省,江苏省,江苏省,江苏省,江苏省,江苏省,江苏省,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,厦门市,厦门,厦门,厦门,厦门市,厦门市,厦门市,厦门市,厦门市,厦门市,福建省,福建省,福建省,福建省,厦门市,厦门市,厦门市,厦门市,福建省,福建省,福建省,福建省,福建省,福建省
于忠福,,,,,,,,,,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,上海市,上海市,济南,南京,南京,南京,南京
万立骏,,,,,,,,,,,,,,,,,,大连,大连,吉林省,吉林省,吉林省,吉林省,吉林省,吉林省,吉林省,吉林省,大连,大连,大连,大连,大连,大连,北海,北海,北海,北海,北海,北海,北海,北海,北海,北海,北海,北海,北海,北海,北海,北海,北海,北海,北海,北京,北京
习近平,,,,,延川县,延川县,延川县,延川县,延川县,延川县,延川县,延川县,延川县,延川县,北京,北京,北京,正定县,正定县,正定县,厦门市,厦门市,厦门市,宁德,宁德,福州,福州,福州,福州,福州,福州,福建省,福建省,福建省,福建省,福建省,福建省,浙江省,浙江省,浙江省,浙江省,浙江省,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京
马飚,,,,,,,,柳州,柳州,柳州,柳州,柳州,柳州,北京,北京,北京,北京,广西壮族自治区,广西壮族自治区,广西壮族自治区,广西壮族自治区,广西壮族自治区,广西壮族自治区,广西壮族自治区,广西壮族自治区,罗城仫佬族自治县,罗城仫佬族自治县,罗城仫佬族自治县,罗城仫佬族自治县,广西壮族自治区,广西壮族自治区,广西壮族自治区,广西壮族自治区,百色,百色,百色,百色,百色,百色,广西壮族自治区,南宁市,南宁市,南宁市,广西壮族自治区,广西壮族自治区,广西壮族自治区,广西壮族自治区,广西壮族自治区,广西壮族自治区,广西壮族自治区,广西壮族自治区,广西壮族自治区,广西壮族自治区,广西壮族自治区
马兴瑞,,,,,,,,,,,,,,阜新,阜新,阜新,阜新,天津,天津,天津,哈尔滨,哈尔滨,哈尔滨,哈尔滨,哈尔滨,哈尔滨,哈尔滨,哈尔滨,哈尔滨,哈尔滨,哈尔滨,哈尔滨,哈尔滨,哈尔滨,哈尔滨,哈尔滨,哈尔滨,哈尔滨,哈尔滨,哈尔滨,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,深圳市,深圳市,广东省,广东省
王宁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上海,江西省,江西省,江西省,江西省,江西省,江西省,北京,北京,北京,北京,北京,北京
王军,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
王勇,,,,,黑龙江,黑龙江,黑龙江,黑龙江,黑龙江,黑龙江,黑龙江,黑龙江,黑龙江,黑龙江,北京,北京,北京,北京,北京,北京,北京,北京,哈尔滨,哈尔滨,哈尔滨,哈尔滨,哈尔滨,哈尔滨,哈尔滨,哈尔滨,哈尔滨,哈尔滨,哈尔滨,哈尔滨,哈尔滨,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京
王晨,,,,,宜君县,宜君县,宜君县,宜君县,延安,延安,延安,延安,延安,延安,延安,延安,延安,延安,延安,延安,延安,延安,延安,延安,延安,延安,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京
王毅,,,,,黑龙江,黑龙江,黑龙江,黑龙江,黑龙江,黑龙江,黑龙江,黑龙江,黑龙江,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京
王小洪,,,,,,,,,,闽侯县,闽侯县,闽侯县,闽侯县,闽侯县,闽侯县,闽侯县,闽侯县,闽侯县,闽侯县,闽侯县,闽侯县,闽侯县,闽侯县,闽侯县,郊区,郊区,郊区,郊区,福州市,福州市,福州市,福州市,福州市,漳州市,漳州市,漳州市,漳州市,福建省,福建省,福建省,福建省,福建省,福建省,福建省,福建省,福建省,厦门市,厦门市,河南省,河南,北京市,北京市,北京市,北京市
王玉普,,,,,,,,,,,,,,大庆,大庆,大庆,大庆,大庆,大庆,大庆,大庆,大庆,大庆,大庆,大庆,大庆,大庆,大庆,大庆,北京,北京,北京,大庆,大庆,大庆,北京,北京,北京,大庆,大庆,大庆,大庆,北京,北京,大庆,黑龙江省,黑龙江省,黑龙江省,北京,北京,北京,北京,北京,北京
王正伟,,,,,,,,,,,,同心县,同心县,同心县,同心县,同心县,同心县,同心县,宁夏回族自治区,宁夏回族自治区,宁夏回族自治区,宁夏回族自治区,宁夏回族自治区,宁夏回族自治区,宁夏回族自治区,宁夏回族自治区,宁夏回族自治区,宁夏回族自治区,宁夏回族自治区,北京,北京,北京,宁夏回族自治区,宁夏回族自治区,宁夏回族自治区,北京,北京,北京,宁夏回族自治区,宁夏回族自治区,宁夏回族自治区,宁夏回族自治区,宁夏回族自治区,宁夏回族自治区,宁夏回族自治区,宁夏回族自治区,宁夏回族自治区,宁夏回族自治区,宁夏回族自治区,宁夏回族自治区,北京,北京,北京,北京
王东明,,,,,,,,,,,辽宁省,辽宁省,辽宁省,辽宁,辽宁,辽宁,辽宁,太和区,锦州市,锦州市,绥中县,绥中县,绥中县,绥中县,绥中县,绥中县,辽宁省,辽宁省,辽阳市,辽宁省,辽宁省,辽宁省,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,四川省,四川省,四川省,四川省,四川省,四川省
王东峰,,,,,,,,,,,,,,,,,西安市,陕西省,陕西省,西安市,西安市,西安市,西安市,西安市,西安市,西安市,西安市,西安市,西安市,北京,北京,北京,北京,陕西省,西安,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,天津市,天津市,天津市,天津市,河北省,河北省
王尔乘,,,,,,,北京市,北京市,北京市,北京市,北京市,北京市,北京市,北京市,北京市,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京
王志民,,,,,,,,,,,将乐县,福州,福州,郑州,郑州,郑州,郑州,福州,福州,福州,福建省,福建省,福建省,福建省,福建省,福建省,福建省,香港,香港,香港,香港,香港,香港,厦门市,福建,福建,福建,福建,福建,福建,福建,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,澳门,北京,北京
王志刚,,,,,,,,,,,,滁州市,滁州市,滁州市,滁州市,滁州市,滁州市,滁州市,滁州市,滁州市,滁州市,滁州市,滁州市,滁州市,滁州市,滁州市,滁州市,滁州市,滁州市,滁州市,滁州市,滁州市,滁州市,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京
王沪宁,,,,,,,,上海,上海,上海,上海,上海,上海市,上海市,上海市,上海市,上海市,上海市,上海市,上海市,上海市,上海市,上海市,上海市,上海市,上海市,上海市,上海市,上海市,上海市,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京
王国生,,,,,,,,,,东阿县,东阿县,聊城,聊城,聊城,聊城,聊城,山东,山东,聊城,聊城,聊城,聊城,聊城,聊城,聊城,聊城,唐县,唐县,唐县,唐县,聊城,聊城,山东省,山东省,山东省,连云港市,江苏省,江苏省,江苏省,江苏省,江苏省,江苏省,江苏省,江苏省,江苏省,湖北省,湖北省,湖北省,湖北省,湖北省,湖北省,青海省,青海省,青海省
王建军,,,,,,,,,,,,,,湟中县,青海,青海,西宁市,西宁市,西宁市,西宁市,青海省,青海省,青海省,青海省,青海省,青海省,青海省,青海省,青海省,青海省,青海省,青海省,青海省,青海省,青海省,青海省,青海省,青海省,青海省,青海省,青海省,青海省,青海省,北京,北京,西宁市,西宁,西宁,青海省,青海省,西宁,青海省,青海省,青海省
王建武,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,西藏自治区,西藏自治区
王晓东,,,,,,,,,,,,,,,江西,江西,江西,江西,江西省,江西省,江西省,江西省,北京,北京,江西省,江西省,江西省,江西省,贵州省,贵州省,贵州省,贵州省,贵州省,贵州省,贵州省,北京,北京,北京,北京,北京,北京,北京,贵州省,贵州省,贵州省,贵州省,湖北省,湖北,湖北,湖北,湖北,湖北,湖北省,湖北省
王晓晖,,,,,,,,,,,,,,,,,,,,,,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京,北京
王家胜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,北京,北京,北京,北京,北京
